,NAME,上開,不,之,也,了,云云,以,伊,似,但,係指,全,其,即,卻,又,只,可,在,地,如,就,得,惟查,把,按,於,旋,是,有,此,殆,為,無,然,爰,的,等語,系爭,縱,而,致,與,茲,著,被,足資,這,還,那
10038,蘇永欽,,37.0,72,20.0,13.0,,1.0,,1.0,9.0,,4.0,29,17.0,4.0,4.0,,4.0,37.0,10.0,15.0,13.0,13.0,,,,49,,52.0,59,20,,35,6.0,6.0,,197.0,,1.0,,23,8.0,25.0,,,6.0,,13.0,3.0,
10039,蘇永欽,,35.0,50,13.0,9.0,,1.0,,3.0,7.0,,4.0,23,13.0,6.0,5.0,,4.0,37.0,15.0,13.0,12.0,8.0,,1.0,,49,,62.0,41,21,,52,6.0,8.0,,209.0,,1.0,1.0,23,6.0,14.0,,2.0,1.0,,23.0,2.0,
10040,蘇永欽,,35.0,64,14.0,6.0,,,,,9.0,,8.0,32,21.0,2.0,3.0,,4.0,35.0,12.0,15.0,10.0,9.0,,1.0,,48,,68.0,35,20,,43,9.0,9.0,,211.0,,1.0,1.0,26,2.0,20.0,,2.0,2.0,,13.0,,
10041,蘇永欽,,46.0,42,19.0,6.0,,,,2.0,8.0,,3.0,30,24.0,3.0,3.0,,5.0,32.0,21.0,14.0,16.0,12.0,,,,51,,70.0,41,15,,50,13.0,7.0,,190.0,,1.0,2.0,26,4.0,15.0,,3.0,5.0,,23.0,5.0,
10042,蘇永欽,,44.0,72,23.0,4.0,,1.0,,4.0,11.0,,2.0,35,24.0,3.0,8.0,,3.0,50.0,10.0,9.0,10.0,14.0,,,,27,,70.0,40,22,,63,14.0,11.0,,193.0,,4.0,,33,,8.0,,,4.0,,17.0,3.0,1.0
10043,蘇永欽,,33.0,52,30.0,4.0,,,,8.0,12.0,,2.0,26,12.0,1.0,,,3.0,42.0,17.0,13.0,11.0,9.0,,2.0,,44,,80.0,39,17,,72,8.0,5.0,,202.0,,3.0,2.0,23,6.0,10.0,,4.0,2.0,,20.0,2.0,1.0
10044,蘇永欽,,31.0,38,25.0,12.0,,1.0,,4.0,10.0,,6.0,32,22.0,1.0,4.0,,3.0,46.0,9.0,11.0,8.0,12.0,,2.0,,42,,80.0,38,28,,49,8.0,6.0,,226.0,,,,36,,14.0,,,4.0,,10.0,3.0,
10045,蘇永欽,,32.0,58,19.0,8.0,,,,3.0,4.0,,4.0,24,11.0,4.0,3.0,,8.0,41.0,18.0,18.0,8.0,9.0,,1.0,,36,,62.0,49,16,,47,12.0,10.0,,200.0,,1.0,,34,3.0,17.0,,5.0,2.0,,17.0,6.0,1.0
10046,蘇永欽,,36.0,60,19.0,11.0,,,,4.0,5.0,,4.0,28,24.0,3.0,2.0,,1.0,41.0,15.0,14.0,14.0,14.0,,2.0,,45,,66.0,50,19,,60,13.0,9.0,,215.0,,2.0,,26,6.0,20.0,,,4.0,,16.0,4.0,
10047,蘇永欽,,37.0,44,18.0,7.0,,,,5.0,9.0,,10.0,30,18.0,4.0,1.0,,3.0,39.0,17.0,14.0,14.0,6.0,,2.0,,32,,78.0,47,16,,58,9.0,10.0,,191.0,,3.0,1.0,21,1.0,21.0,,1.0,7.0,,20.0,4.0,
