,余雪明,城仲模,廖義男,彭鳳至,徐璧湖,曾有田,李震山,林子儀,林永謀,林錫堯,楊仁壽,池啟明,王和雄,翁岳生,葉百修,蔡清遊,蘇永欽,許宗力,許玉秀,謝在全,賴英照,陳敏,陳新民,陳春生,黃茂榮
477.0,0.04,0.0,0.03,0.0,0.0,0.0,0.02,0.02,0.07,0.1,0.0,0.0,0.0,0.0,0.18,0.16,0.0,0.0,0.02,0.1,0.02,0.05,0.0,0.11,0.08
478.0,0.0,0.0,0.08,0.01,0.0,0.01,0.07,0.0,0.06,0.03,0.03,0.04,0.03,0.0,0.17,0.3,0.0,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.08
479.0,0.01,0.0,0.03,0.02,0.0,0.01,0.1,0.04,0.01,0.07,0.02,0.03,0.0,0.0,0.14,0.15,0.0,0.0,0.08,0.02,0.03,0.02,0.02,0.01,0.19
480.0,0.01,0.0,0.03,0.0,0.01,0.01,0.0,0.03,0.03,0.18,0.0,0.13,0.0,0.01,0.1,0.2,0.0,0.0,0.0,0.03,0.0,0.01,0.0,0.06,0.16
481.0,0.02,0.0,0.08,0.0,0.01,0.0,0.14,0.01,0.0,0.09,0.02,0.01,0.0,0.01,0.08,0.18,0.01,0.01,0.03,0.03,0.0,0.01,0.0,0.02,0.24
482.0,0.01,0.0,0.07,0.0,0.0,0.0,0.21,0.0,0.01,0.05,0.02,0.05,0.01,0.01,0.13,0.21,0.0,0.0,0.03,0.03,0.0,0.02,0.02,0.04,0.08
483.0,0.01,0.0,0.05,0.0,0.0,0.0,0.11,0.0,0.07,0.12,0.04,0.01,0.0,0.03,0.07,0.18,0.01,0.01,0.0,0.0,0.01,0.05,0.03,0.07,0.13
484.0,0.01,0.0,0.06,0.0,0.0,0.02,0.08,0.08,0.02,0.14,0.0,0.12,0.01,0.01,0.12,0.15,0.0,0.0,0.0,0.0,0.02,0.07,0.0,0.02,0.07
485.0,0.0,0.0,0.15,0.0,0.0,0.0,0.01,0.02,0.06,0.2,0.0,0.06,0.01,0.0,0.15,0.22,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.04,0.06
486.0,0.01,0.0,0.04,0.01,0.0,0.01,0.19,0.01,0.06,0.04,0.03,0.01,0.01,0.0,0.11,0.27,0.01,0.01,0.02,0.07,0.01,0.01,0.0,0.01,0.06
487.0,0.0,0.01,0.06,0.0,0.0,0.0,0.04,0.01,0.01,0.15,0.08,0.02,0.0,0.01,0.19,0.18,0.0,0.03,0.02,0.04,0.01,0.0,0.0,0.01,0.13
488.0,0.03,0.0,0.09,0.01,0.01,0.0,0.15,0.01,0.04,0.07,0.04,0.01,0.02,0.01,0.17,0.08,0.01,0.05,0.02,0.0,0.01,0.0,0.01,0.04,0.12
489.0,0.01,0.01,0.03,0.0,0.01,0.01,0.01,0.02,0.0,0.11,0.01,0.04,0.01,0.0,0.09,0.13,0.01,0.01,0.01,0.01,0.0,0.07,0.0,0.06,0.34
490.0,0.0,0.01,0.01,0.06,0.0,0.01,0.27,0.01,0.0,0.04,0.02,0.03,0.04,0.0,0.1,0.21,0.0,0.02,0.03,0.02,0.02,0.03,0.01,0.02,0.04
491.0,0.0,0.0,0.02,0.01,0.0,0.03,0.14,0.01,0.03,0.13,0.02,0.03,0.0,0.03,0.1,0.14,0.0,0.0,0.01,0.04,0.0,0.0,0.01,0.04,0.21
492.0,0.0,0.01,0.05,0.0,0.0,0.01,0.01,0.03,0.0,0.14,0.0,0.06,0.0,0.02,0.16,0.17,0.0,0.0,0.0,0.01,0.0,0.09,0.0,0.07,0.17
493.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.07,0.12,0.01,0.03,0.01,0.01,0.17,0.16,0.0,0.0,0.04,0.06,0.02,0.14,0.0,0.05,0.05
494.0,0.03,0.0,0.05,0.0,0.01,0.0,0.03,0.01,0.0,0.08,0.0,0.05,0.01,0.0,0.11,0.46,0.0,0.0,0.02,0.06,0.0,0.01,0.0,0.01,0.06
495.0,0.07,0.0,0.05,0.01,0.0,0.0,0.05,0.0,0.08,0.09,0.03,0.0,0.02,0.01,0.11,0.13,0.0,0.01,0.01,0.01,0.02,0.0,0.02,0.04,0.24
496.0,0.0,0.0,0.05,0.01,0.0,0.02,0.09,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.25,0.02,0.0,0.14,0.1,0.25,0.01,0.0,0.02,0.0
