,余雪明,城仲模,廖義男,彭鳳至,徐璧湖,曾有田,李震山,林子儀,林永謀,林錫堯,楊仁壽,池啟明,王和雄,翁岳生,葉百修,蔡清遊,蘇永欽,許宗力,許玉秀,謝在全,賴英照,陳敏,陳新民,陳春生,黃茂榮
641.0,0.01,0.0,0.02,0.01,0.0,0.0,0.09,0.03,0.0,0.2,0.03,0.06,0.0,0.0,0.14,0.22,0.0,0.01,0.02,0.03,0.08,0.0,0.01,0.01,0.03
642.0,0.03,0.0,0.09,0.0,0.0,0.01,0.03,0.0,0.06,0.1,0.0,0.01,0.01,0.01,0.12,0.28,0.0,0.02,0.06,0.01,0.01,0.02,0.0,0.05,0.08
643.0,0.01,0.0,0.02,0.02,0.0,0.01,0.02,0.06,0.02,0.18,0.02,0.02,0.0,0.01,0.09,0.15,0.0,0.01,0.02,0.0,0.04,0.13,0.0,0.01,0.16
644.0,0.03,0.01,0.02,0.02,0.0,0.0,0.03,0.0,0.26,0.05,0.08,0.0,0.01,0.02,0.05,0.14,0.03,0.02,0.02,0.02,0.03,0.02,0.01,0.03,0.1
645.0,0.01,0.0,0.06,0.01,0.0,0.01,0.08,0.03,0.02,0.09,0.02,0.0,0.05,0.0,0.12,0.23,0.02,0.02,0.04,0.02,0.06,0.01,0.01,0.03,0.06
646.0,0.01,0.0,0.01,0.0,0.0,0.01,0.1,0.02,0.0,0.25,0.0,0.01,0.02,0.0,0.18,0.09,0.0,0.01,0.03,0.01,0.01,0.02,0.01,0.13,0.08
647.0,0.03,0.0,0.08,0.0,0.01,0.03,0.11,0.04,0.02,0.17,0.0,0.02,0.01,0.0,0.1,0.06,0.0,0.01,0.01,0.01,0.02,0.1,0.0,0.13,0.04
648.0,0.0,0.0,0.03,0.0,0.0,0.0,0.11,0.03,0.03,0.13,0.02,0.01,0.0,0.03,0.08,0.15,0.03,0.0,0.02,0.03,0.01,0.1,0.0,0.04,0.15
649.0,0.0,0.0,0.0,0.01,0.0,0.01,0.19,0.03,0.03,0.11,0.03,0.03,0.0,0.0,0.18,0.04,0.01,0.01,0.05,0.01,0.0,0.11,0.02,0.07,0.06
650.0,0.01,0.0,0.05,0.0,0.0,0.01,0.01,0.01,0.11,0.12,0.04,0.02,0.04,0.01,0.07,0.19,0.0,0.01,0.02,0.01,0.03,0.02,0.0,0.02,0.2
651.0,0.01,0.0,0.06,0.0,0.0,0.01,0.1,0.04,0.13,0.12,0.01,0.0,0.0,0.02,0.07,0.13,0.0,0.01,0.06,0.03,0.03,0.07,0.0,0.0,0.1
652.0,0.01,0.01,0.04,0.0,0.0,0.01,0.06,0.01,0.05,0.11,0.01,0.02,0.01,0.02,0.24,0.19,0.06,0.01,0.02,0.0,0.0,0.02,0.01,0.01,0.08
